fold,epoch,lr,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_sens,val_spec,val_prec,val_npv,val_mcc,val_kappa,epoch_time_s
3,19,6.841e-05,0.046437,0.983326,0.075672,0.975937,0.976415,0.998775,0.995876,0.955983,0.9577,0.995702,0.952631,0.951873,43.54
3,20,6.545e-05,0.048385,0.982553,0.070664,0.979374,0.979702,0.998284,0.995189,0.963549,0.96469,0.995028,0.959228,0.958748,43.72
3,21,6.243e-05,0.035485,0.987967,0.093933,0.973187,0.973826,0.998684,0.997251,0.949106,0.951475,0.99711,0.94747,0.946372,43.72
3,22,5.937e-05,0.037681,0.986592,0.050096,0.983499,0.983707,0.999253,0.995876,0.971114,0.971831,0.995769,0.967295,0.966999,43.67
3,23,5.627e-05,0.031389,0.988655,0.063158,0.980749,0.981068,0.998886,0.997251,0.964237,0.965403,0.997155,0.962022,0.961498,43.92
3,24,5.314e-05,0.035359,0.986248,0.073828,0.977999,0.978422,0.998922,0.997251,0.958735,0.960291,0.997139,0.956707,0.955998,44.41
3,25,5e-05,0.031831,0.988655,0.080274,0.977312,0.977823,0.999318,1.0,0.954608,0.956607,1.0,0.955607,0.954623,45.49
3,26,4.686e-05,0.026451,0.991405,0.124145,0.968718,0.969636,0.998427,0.998625,0.93879,0.942283,0.998537,0.939116,0.937434,44.03
3,27,4.373e-05,0.030326,0.988999,0.044224,0.984187,0.984375,0.999615,0.995876,0.97249,0.973136,0.995775,0.968638,0.968374,44.3
3,28,4.063e-05,0.028169,0.990632,0.056786,0.980062,0.980458,0.999628,1.0,0.96011,0.961666,1.0,0.960887,0.960123,44.26
3,29,3.757e-05,0.01977,0.992952,0.07886,0.979031,0.979413,0.998344,0.997251,0.960798,0.962202,0.997145,0.958697,0.958061,43.5
3,30,3.455e-05,0.021867,0.992265,0.082817,0.977656,0.978063,0.998639,0.995876,0.959422,0.960875,0.995717,0.955945,0.955311,43.81
3,31,3.159e-05,0.018587,0.993296,0.098931,0.97078,0.971543,0.998692,0.997251,0.944292,0.947128,0.997095,0.942882,0.94156,43.67
3,32,2.871e-05,0.019386,0.993038,0.048644,0.984875,0.985085,0.999601,0.998625,0.971114,0.971906,0.998586,0.970116,0.969749,43.6
3,33,2.591e-05,0.014324,0.995101,0.071926,0.981093,0.981425,0.999506,0.998625,0.963549,0.964807,0.998574,0.962778,0.962186,43.83
3,34,2.321e-05,0.016656,0.993812,0.048601,0.985906,0.986069,0.999332,0.997251,0.974553,0.975134,0.997185,0.972062,0.971811,43.96
3,35,2.061e-05,0.014413,0.994671,0.081018,0.979031,0.979441,0.999384,0.998625,0.959422,0.960979,0.998568,0.958797,0.958061,44.01
3,36,1.813e-05,0.012745,0.994757,0.066858,0.982468,0.982753,0.999379,0.998625,0.9663,0.967377,0.998579,0.96544,0.964936,44.18
3,37,1.577e-05,0.011339,0.996476,0.042851,0.988312,0.988404,0.999639,0.995876,0.980743,0.981043,0.99581,0.976736,0.976624,43.77
3,38,1.355e-05,0.013111,0.995359,0.04717,0.986937,0.987075,0.99966,0.997251,0.976616,0.977104,0.997191,0.974081,0.973874,44.21
3,39,1.147e-05,0.012523,0.996132,0.073876,0.981781,0.982064,0.999023,0.997251,0.9663,0.967333,0.997161,0.964022,0.963561,44.56
3,40,9.55e-06,0.010129,0.996734,0.042784,0.988656,0.988756,0.999641,0.997251,0.980055,0.980405,0.997201,0.977456,0.977312,43.91
3,41,7.78e-06,0.010689,0.996132,0.046577,0.989,0.989108,0.999659,0.998625,0.979367,0.979771,0.998597,0.97818,0.977999,43.82
3,42,6.18e-06,0.007821,0.99682,0.051959,0.987625,0.987763,0.999595,0.998625,0.976616,0.977135,0.998594,0.975485,0.975249,43.99
3,43,4.76e-06,0.009297,0.996992,0.059525,0.985562,0.985753,0.999362,0.998625,0.97249,0.973208,0.998588,0.971455,0.971124,43.39
3,44,3.51e-06,0.009846,0.996218,0.059867,0.984875,0.985085,0.999559,0.998625,0.971114,0.971906,0.998586,0.970116,0.969749,44.39
3,45,2.45e-06,0.007763,0.997164,0.05281,0.987281,0.987428,0.999584,0.998625,0.975928,0.976478,0.998593,0.974812,0.974562,44.43
3,46,1.57e-06,0.007991,0.997593,0.055578,0.98625,0.986422,0.999522,0.998625,0.973865,0.974514,0.99859,0.972797,0.972499,43.66
3,47,8.9e-07,0.007621,0.997336,0.055053,0.986593,0.986757,0.999492,0.998625,0.974553,0.975168,0.998591,0.973468,0.973186,44.68
